2025-05-06 07:03:14 status half-installed nvidia-firmware-570-server-570.133.20:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:15 status unpacked nvidia-firmware-570-server-570.133.20:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:15 upgrade nvidia-kernel-common-570-server:amd64 570.86.15-0ubuntu0.24.04.4 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:15 status triggers-pending initramfs-tools:all 0.142ubuntu25.5
2025-05-06 07:03:15 status half-configured nvidia-kernel-common-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:15 status unpacked nvidia-kernel-common-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:15 status half-installed nvidia-kernel-common-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:15 status unpacked nvidia-kernel-common-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:15 install linux-modules-nvidia-570-server-6.11.0-25-generic:amd64 <none> 6.11.0-25.25~24.04.1+1
2025-05-06 07:03:15 status half-installed linux-modules-nvidia-570-server-6.11.0-25-generic:amd64 6.11.0-25.25~24.04.1+1
2025-05-06 07:03:15 status unpacked linux-modules-nvidia-570-server-6.11.0-25-generic:amd64 6.11.0-25.25~24.04.1+1
2025-05-06 07:03:15 upgrade linux-modules-nvidia-570-server-generic-hwe-24.04:amd64 6.11.0-24.24~24.04.1 6.11.0-25.25~24.04.1+1
2025-05-06 07:03:15 status half-configured linux-modules-nvidia-570-server-generic-hwe-24.04:amd64 6.11.0-24.24~24.04.1
2025-05-06 07:03:15 status unpacked linux-modules-nvidia-570-server-generic-hwe-24.04:amd64 6.11.0-24.24~24.04.1
2025-05-06 07:03:15 status half-installed linux-modules-nvidia-570-server-generic-hwe-24.04:amd64 6.11.0-24.24~24.04.1
2025-05-06 07:03:15 status unpacked linux-modules-nvidia-570-server-generic-hwe-24.04:amd64 6.11.0-25.25~24.04.1+1
2025-05-06 07:03:15 upgrade nvidia-kernel-source-570-server:amd64 570.86.15-0ubuntu0.24.04.4 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:15 status half-configured nvidia-kernel-source-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:15 status unpacked nvidia-kernel-source-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:15 status half-installed nvidia-kernel-source-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:15 status unpacked nvidia-kernel-source-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:16 upgrade libnvidia-decode-570-server:amd64 570.86.15-0ubuntu0.24.04.4 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:16 status half-configured libnvidia-decode-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:16 status unpacked libnvidia-decode-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:16 status half-installed libnvidia-decode-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:16 status unpacked libnvidia-decode-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:16 upgrade libnvidia-compute-570-server:amd64 570.86.15-0ubuntu0.24.04.4 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:16 status half-configured libnvidia-compute-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:16 status unpacked libnvidia-compute-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:16 status half-installed libnvidia-compute-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:16 status unpacked libnvidia-compute-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:16 upgrade nvidia-compute-utils-570-server:amd64 570.86.15-0ubuntu0.24.04.4 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:16 status half-configured nvidia-compute-utils-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:16 status unpacked nvidia-compute-utils-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:16 status half-installed nvidia-compute-utils-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:16 status triggers-pending man-db:amd64 2.12.0-4build2
2025-05-06 07:03:17 status unpacked nvidia-compute-utils-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 upgrade libnvidia-encode-570-server:amd64 570.86.15-0ubuntu0.24.04.4 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 status half-configured libnvidia-encode-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:17 status unpacked libnvidia-encode-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:17 status half-installed libnvidia-encode-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:17 status unpacked libnvidia-encode-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 upgrade nvidia-utils-570-server:amd64 570.86.15-0ubuntu0.24.04.4 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 status half-configured nvidia-utils-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:17 status unpacked nvidia-utils-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:17 status half-installed nvidia-utils-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:17 status unpacked nvidia-utils-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 upgrade xserver-xorg-video-nvidia-570-server:amd64 570.86.15-0ubuntu0.24.04.4 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 status half-configured xserver-xorg-video-nvidia-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:17 status unpacked xserver-xorg-video-nvidia-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:17 status half-installed xserver-xorg-video-nvidia-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:17 status unpacked xserver-xorg-video-nvidia-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 upgrade libnvidia-fbc1-570-server:amd64 570.86.15-0ubuntu0.24.04.4 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 status half-configured libnvidia-fbc1-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:17 status unpacked libnvidia-fbc1-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:17 status half-installed libnvidia-fbc1-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:17 status unpacked libnvidia-fbc1-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 upgrade libnvidia-cfg1-570-server:amd64 570.86.15-0ubuntu0.24.04.4 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 status half-configured libnvidia-cfg1-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:17 status unpacked libnvidia-cfg1-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:17 status half-installed libnvidia-cfg1-570-server:amd64 570.86.15-0ubuntu0.24.04.4
2025-05-06 07:03:17 status unpacked libnvidia-cfg1-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 startup packages configure
2025-05-06 07:03:17 configure libnvidia-fbc1-570-server:amd64 570.133.20-0ubuntu0.24.04.1 <none>
2025-05-06 07:03:17 status unpacked libnvidia-fbc1-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 status half-configured libnvidia-fbc1-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 status installed libnvidia-fbc1-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 configure libnvidia-common-570-server:all 570.133.20-0ubuntu0.24.04.1 <none>
2025-05-06 07:03:17 status unpacked libnvidia-common-570-server:all 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 status half-configured libnvidia-common-570-server:all 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 status installed libnvidia-common-570-server:all 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 configure nvidia-firmware-570-server-570.133.20:amd64 570.133.20-0ubuntu0.24.04.1 <none>
2025-05-06 07:03:17 status unpacked nvidia-firmware-570-server-570.133.20:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 status half-configured nvidia-firmware-570-server-570.133.20:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 status installed nvidia-firmware-570-server-570.133.20:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 configure nvidia-kernel-source-570-server:amd64 570.133.20-0ubuntu0.24.04.1 <none>
2025-05-06 07:03:17 status unpacked nvidia-kernel-source-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 status half-configured nvidia-kernel-source-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 status installed nvidia-kernel-source-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 configure linux-modules-6.11.0-25-generic:amd64 6.11.0-25.25~24.04.1 <none>
2025-05-06 07:03:17 status unpacked linux-modules-6.11.0-25-generic:amd64 6.11.0-25.25~24.04.1
2025-05-06 07:03:17 status half-configured linux-modules-6.11.0-25-generic:amd64 6.11.0-25.25~24.04.1
2025-05-06 07:03:17 status installed linux-modules-6.11.0-25-generic:amd64 6.11.0-25.25~24.04.1
2025-05-06 07:03:17 configure libnvidia-gl-570-server:amd64 570.133.20-0ubuntu0.24.04.1 <none>
2025-05-06 07:03:17 status unpacked libnvidia-gl-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 status half-configured libnvidia-gl-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 status installed libnvidia-gl-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 configure linux-objects-nvidia-570-server-6.11.0-25-generic:amd64 6.11.0-25.25~24.04.1+1 <none>
2025-05-06 07:03:17 status unpacked linux-objects-nvidia-570-server-6.11.0-25-generic:amd64 6.11.0-25.25~24.04.1+1
2025-05-06 07:03:17 status half-configured linux-objects-nvidia-570-server-6.11.0-25-generic:amd64 6.11.0-25.25~24.04.1+1
2025-05-06 07:03:17 status installed linux-objects-nvidia-570-server-6.11.0-25-generic:amd64 6.11.0-25.25~24.04.1+1
2025-05-06 07:03:17 configure libnvidia-cfg1-570-server:amd64 570.133.20-0ubuntu0.24.04.1 <none>
2025-05-06 07:03:17 status unpacked libnvidia-cfg1-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 status half-configured libnvidia-cfg1-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 status installed libnvidia-cfg1-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 configure libnvidia-compute-570-server:amd64 570.133.20-0ubuntu0.24.04.1 <none>
2025-05-06 07:03:17 status unpacked libnvidia-compute-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 status half-configured libnvidia-compute-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 status installed libnvidia-compute-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 configure libnvidia-extra-570-server:amd64 570.133.20-0ubuntu0.24.04.1 <none>
2025-05-06 07:03:17 status unpacked libnvidia-extra-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 status half-configured libnvidia-extra-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:17 status installed libnvidia-extra-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:18 configure nvidia-kernel-common-570-server:amd64 570.133.20-0ubuntu0.24.04.1 <none>
2025-05-06 07:03:18 status unpacked nvidia-kernel-common-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:18 status half-configured nvidia-kernel-common-570-server:amd64 570.133.20-0ubuntu0.24.04.1
2025-05-06 07:03:21 status installed nvidia-kernel-common-570-server:amd64 570.133.20-0ubuntu0.24.04.1
